POP_ID,WTRSHD_FID,psfstreamID,MatchType,WSD_ID_50K,StreamOrder
3303,82,7109,1,35046,6
3304,82,7402,1,35046,6
3304,82,7596,1,35046,6
3305,82,6346,1,35046,6
3306,82,5780,1,35046,6
3310,107,7851,4,34842,6
3311,84,7063,4,35020,4
3312,84,6389,4,35020,4
3313,82,7077,4,35244,6
3314,83,7101,4,,3
3325,91,7712,4,35129,5
3329,13861,7135,4,31981,2
3330,13861,5916,4,31981,2
3333,2623,5626,4,35755,6
3335,4404,7045,1,32605,6
3339,16097,,6,6,5
3341,-1,,6,,
3356,13499,8737,4,,8
3357,13509,8745,4,,7
3359,13509,8748,4,,7
3363,13507,8671,4,,7
3366,13507,8686,4,,7
3372,13507,8716,4,,7
3375,13499,8721,4,,8
3414,5022,8757,4,21437,4
3418,12167,3722,4,23110,4
3421,11818,3724,4,21319,3
3422,11826,4587,4,,4
3422,11826,4963,4,,4
3423,11826,3725,4,,4
3424,11826,4588,4,21396,4
3424,11826,4964,4,21396,4
3425,11826,3726,4,21396,4
3426,11826,4589,4,,4
3426,11826,4965,4,,4
3427,11826,3727,4,,4
3428,1286,2235,4,8095,5
3429,1283,2160,4,8115,5
3430,7242,2486,2,,4
3430,7242,5445,2,,4
3431,16842,5142,6,14415,3
3432,6453,5143,4,12463,3
3433,16842,3981,6,14415,3
3437,14415,8773,4,25444,4
3440,19214,8836,4,26418,4
3442,2212,8636,4,22459,8
3444,5189,,6,1743,6
3445,18781,8394,4,18995,5
3449,12180,4770,4,22132,4
3449,12180,5144,4,22132,4
3450,12180,3729,4,22132,4
3451,12180,4771,4,22288,4
3451,12180,5146,4,22288,4
3452,12180,3730,4,22288,4
3453,12180,4772,4,22039,4
3453,12180,5145,4,22039,4
3454,12180,3731,4,22039,4
7004,19509,3422,4,4966,4
7005,8847,1776,4,,5
7006,19506,3427,4,5085,5
7007,19503,3418,4,5255,5
7472,4730,8362,4,,10
7473,4730,8112,4,,10
7475,14408,8442,4,,7
7476,14411,8465,4,25717,4
7477,14445,8043,4,26138,4
7478,14441,8038,4,26346,3
7479,1,8039,4,25762,6
7480,4,8041,4,25495,4
7549,817,,5,21350,5
7552,813,,5,20123,5
7630,15760,8925,4,25440,5
7631,15760,8926,4,25440,5
7632,14379,8771,4,,3
7633,14452,8789,4,,8
7635,19238,8830,4,29757,6
7636,14455,8776,4,25375,8
7638,14435,8808,4,25928,7
7641,19286,8844,4,26433,7
7643,19198,8831,4,26879,3
7688,14042,8590,4,29382,5
7690,8110,8662,4,33390,5
7691,8112,8664,4,33849,5
7692,8112,8668,4,33849,5
7693,8124,8669,4,,6
7695,8127,8663,4,33878,6
7696,8126,8667,4,,6
7726,1919,8605,4,35955,4
7727,14055,8587,4,27514,6
7743,8625,8653,4,29004,6
7744,15791,8921,4,25278,7
7762,14041,8592,4,29659,6
39530,122,7868,4,,5
39532,122,7067,4,,5
39536,122,6397,4,,5
39538,122,5804,4,,5
39540,124,7692,4,36149,4
39542,124,7073,4,36149,4
39546,124,6405,4,36149,4
39548,124,5807,4,36149,4
39552,137,7066,4,,3
39556,137,6396,4,,3
39560,137,7907,4,,3
39562,137,7119,4,,3
39564,137,7606,4,,3
39566,137,6480,4,,3
39570,137,7908,4,36319,3
39572,137,7120,4,36319,3
39576,137,6481,4,36319,3
39578,137,5790,4,36319,3
39580,137,7858,4,,3
39582,137,7055,4,,3
39584,137,7636,4,,3
39586,137,6377,4,,3
39588,137,5797,4,,3
39592,137,7051,4,,3
39596,137,6369,4,,3
39600,137,7877,4,,3
39602,137,7080,4,,3
39606,137,6415,4,,3
39608,137,5809,4,,3
39610,15656,7678,4,,4
39612,15656,7057,4,,4
39614,15656,7370,4,,4
39616,15656,6379,4,,4
39618,15656,5836,4,,4
39620,15656,7828,4,31818,4
39622,15656,7019,4,31818,4
39624,15656,7346,4,31818,4
39626,15656,6456,4,31818,4
39628,15656,5821,4,31818,4
39632,15656,7012,4,,4
39636,15656,6301,4,,4
39646,15656,,6,,4
39650,15648,7831,4,31840,4
39652,15648,7022,4,31840,4
39654,15648,7349,4,31840,4
39654,15648,7624,4,31840,4
39656,15648,6460,4,31840,4
39658,15648,5823,4,31840,4
39660,15649,7873,4,31489,4
39662,15649,7074,4,31489,4
39664,15649,7381,4,31489,4
39664,15649,7644,4,31489,4
39666,15649,6406,4,31489,4
39668,15649,5845,4,31489,4
39670,1223,7885,5,31185,4
39672,1223,7088,4,31185,4
39674,1223,7393,4,31185,4
39674,1223,7655,4,31185,4
39676,1223,6427,4,31185,4
39678,1223,5855,4,31185,4
39680,1224,7707,4,31130,5
39682,1224,7097,4,31130,5
39684,1224,7396,4,31130,5
39684,1224,7658,4,31130,5
39686,1224,6437,4,31130,5
39688,1224,5859,4,31130,5
39690,1225,7815,4,31505,4
39692,1225,7007,4,31505,4
39694,1225,7339,4,31505,4
39694,1225,7613,4,31505,4
39696,1225,6292,4,31505,4
39698,1225,5815,4,31505,4
39700,1226,7884,5,31071,5
39702,1226,7086,1,31071,5
39704,1226,7391,1,31071,5
39704,1226,7652,1,31071,5
39706,1226,6425,1,31071,5
39708,1226,5853,1,31071,5
39712,1228,6898,4,31456,5
39716,1228,6200,4,31456,5
39720,1259,7662,4,31302,4
39722,1259,6869,4,31302,4
39724,1259,7220,4,31302,4
39726,1259,6175,4,31302,4
39732,1229,6881,1,31060,4
39734,1229,7226,1,31060,4
39734,1229,7527,1,31060,4
39736,1229,6185,1,31060,4
39738,1229,5662,1,31060,4
39740,1230,7773,4,30816,4
39742,1230,6825,4,30816,4
39744,1230,7200,4,30816,4
39744,1230,7532,4,30816,4
39746,1230,6201,4,30816,4
39748,1230,5666,4,30816,4
39762,1261,6890,4,,3
39764,1261,7196,4,,3
39766,1261,6193,4,,3
39772,1231,6895,4,30575,5
39774,1231,7198,4,30575,5
39774,1231,7530,4,30575,5
39776,1231,6198,4,30575,5
39778,1231,5665,4,30575,5
39782,1231,6868,4,30661,5
39784,1231,7219,4,30661,5
39786,1231,6174,4,30661,5
39790,1232,7770,4,30328,4
39792,1232,6879,4,30328,4
39796,1232,6183,4,30328,4
39800,1233,7704,4,30270,5
39802,1233,6835,4,30270,5
39804,1233,7208,4,30270,5
39806,1233,6210,4,30270,5
39808,1233,5669,4,30270,5
39812,1263,6839,4,,3
39814,1263,7210,4,,3
39816,1263,6214,4,,3
39822,1263,6873,4,30148,3
39826,1263,6179,4,30148,3
39832,1235,6897,4,30165,5
39834,1235,7199,4,30165,5
39836,1235,6199,4,30165,5
39840,1236,7774,1,30149,5
39842,1236,6827,1,30149,5
39844,1236,7202,1,30149,5
39844,1236,7533,1,30149,5
39846,1236,6203,1,30149,5
39848,1236,5668,1,30149,5
39852,1264,6852,4,,4
39856,1264,6223,4,,4
39862,1264,6894,4,,4
39866,1264,6197,4,,4
39872,1264,6836,4,,4
39876,1264,6211,4,,4
39882,1237,6856,4,30543,4
39886,1237,6225,4,30543,4
39892,1264,6872,4,30630,4
39896,1264,6178,4,30630,4
39897,1264,6178,4,30630,4
39900,1239,7767,4,30834,5
39902,1239,6870,4,30834,5
39904,1239,7221,4,30834,5
39904,1239,7522,4,30834,5
39906,1239,6176,4,30834,5
39908,1239,5658,4,30834,5
39910,1239,7769,4,30837,5
39912,1239,6877,4,30837,5
39914,1239,7224,4,30837,5
39914,1239,7525,4,30837,5
39916,1239,6182,4,30837,5
39918,1239,5660,4,30837,5
39922,1241,6858,4,30946,4
39926,1241,6226,4,30946,4
39928,1241,5673,4,30946,4
39932,1265,6841,4,30308,4
39936,1265,6216,4,30308,4
39942,1265,6830,4,29928,4
39944,1265,7205,4,29928,4
39946,1265,6206,4,29928,4
39950,1248,7661,1,29828,7
39952,1248,6837,1,29828,7
39954,1248,7209,1,29828,7
39954,1248,7536,1,29828,7
39956,1248,6212,1,29828,7
39958,1248,5670,1,29828,7
39962,1265,6876,4,29516,4
39964,1265,7223,4,29516,4
39966,1265,6181,4,29516,4
39977,2596,6566,4,36270,5
39979,2596,7137,4,36270,5
39979,2596,7455,4,36270,5
39981,2596,5922,4,36270,5
39984,2596,5605,4,36270,5
39987,2595,6558,1,36563,3
39991,2595,5907,1,36563,3
39997,2595,6652,4,,3
40001,2595,6016,4,,3
40007,19639,6580,4,36315,3
40011,19639,5886,4,36315,3
40017,2566,6570,4,36369,7
40019,2566,7139,4,36369,7
40019,2566,7458,4,36369,7
40021,2566,5926,4,36369,7
40023,2566,5596,4,36369,7
40024,2566,5596,4,36369,7
40027,2567,6594,4,36989,6
40031,2567,6035,4,36989,6
40033,2567,5597,4,36989,6
40037,19630,6636,4,37090,4
40041,19630,5982,4,37090,4
40047,19629,6582,4,37181,4
40049,19629,7146,5,37181,4
40051,19629,5888,4,37181,4
40053,19629,5602,4,37181,4
40057,19628,6643,4,37175,3
40063,19628,5603,4,37175,3
40077,19636,6627,4,,2
40087,19636,6633,4,,2
40091,19636,5976,4,,2
40097,19627,6568,4,37179,3
40101,19627,5924,4,37179,3
