cuid,use,cuname,gen_length,sr_code,trtc_cu,FULL_CU_IN,cuindex,culabel,CU,spp,species,watershed,X
591,FALSE,Scoular/Kilpatrick,5,NA,SX_L-19-53,SEL-19-53,L-19-53,Scoular/Kilpatrick,Scoular/Kilpatrick,Sockeye-Lake,Lake Sockeye,,
592,FALSE,Sheneeza Inlet,5,NA,SX_L-19-55,SEL-19-55,L-19-55,Sheneeza Inlet,Sheneeza Inlet,Sockeye-Lake,Lake Sockeye,,
593,FALSE,Ship Point Creek,5,NA,SX_L-19-56,SEL-19-56,L-19-56,Ship Point Creek,Ship Point Creek,Sockeye-Lake,Lake Sockeye,,
594,FALSE,Spencer Creek,5,NA,SX_L-19-57,SEL-19-57,L-19-57,Spencer Creek,Spencer Creek,Sockeye-Lake,Lake Sockeye,,
595,FALSE,Stannard Creek,5,NA,SX_L-19-58,SEL-19-58,L-19-58,Stannard Creek,Stannard Creek,Sockeye-Lake,Lake Sockeye,,
596,FALSE,Talamoosa Creek,5,NA,SX_L-19-59,SEL-19-59,L-19-59,Talamoosa Creek,Talamoosa Creek,Sockeye-Lake,Lake Sockeye,,
597,TRUE,Tankeeah River,5,23,SX_L-19-60,SEL-19-60,L-19-60,Tankeeah River,Tankeeah River,Sockeye-Lake,Lake Sockeye,,
598,FALSE,Treneman Creek,5,NA,SX_L-19-61,SEL-19-61,L-19-61,Treneman Creek,Treneman Creek,Sockeye-Lake,Lake Sockeye,,
599,TRUE,Tsimtack/Moore/Roger,5,24,SX_L-19-62,SEL-19-62,L-19-62,Tsimtack/Moore/Roger,Tsimtack/Moore/Roger,Sockeye-Lake,Lake Sockeye,,
600,FALSE,Tuno Creek East,5,NA,SX_L-19-63,SEL-19-63,L-19-63,Tuno Creek East,Tuno Creek East,Sockeye-Lake,Lake Sockeye,,
601,FALSE,Tuno Creek West,5,NA,SX_L-19-64,SEL-19-64,L-19-64,Tuno Creek West,Tuno Creek West,Sockeye-Lake,Lake Sockeye,,
602,FALSE,Tyler Creek,5,NA,SX_L-19-65,SEL-19-65,L-19-65,Tyler Creek,Tyler Creek,Sockeye-Lake,Lake Sockeye,,
603,FALSE,Wale Creek,5,NA,SX_L-19-66,SEL-19-66,L-19-66,Wale Creek,Wale Creek,Sockeye-Lake,Lake Sockeye,,
604,FALSE,Watt Bay,5,NA,SX_L-19-67,SEL-19-67,L-19-67,Watt Bay,Watt Bay,Sockeye-Lake,Lake Sockeye,,
605,FALSE,West Creek,5,NA,SX_L-19-68,SEL-19-68,L-19-68,West Creek,West Creek,Sockeye-Lake,Lake Sockeye,,
606,FALSE,Yaaklele Lagoon,5,NA,SX_L-19-69,SEL-19-69,L-19-69,Yaaklele Lagoon,Yaaklele Lagoon,Sockeye-Lake,Lake Sockeye,,
607,TRUE,Yeo,5,25,SX_L-19-70,SEL-19-70,L-19-70,Yeo,Yeo,Sockeye-Lake,Lake Sockeye,,
608,TRUE,Hecate Lowlands,2,1,PKe_5,PKE-05,5,Hecate Lowlands,Hecate Lowlands,Pink,Pink (Even),,
609,TRUE,Hecate Strait-Fjords,2,2,PKe_6,PKE-06,6,Hecate Strait-Fjords,Hecate Strait-Fjords,Pink,Pink (Even),,
610,TRUE,Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean,2,3,PKo_8,PKO-08,8,Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean,Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean,Pink,Pink (Odd),,
611,TRUE,Hecate Strait-Lowlands,2,4,PKo_12,PKO-12,12,Hecate Strait-Lowlands,Hecate Strait-Lowlands,Pink,Pink (Odd),,
612,TRUE,Hecate Strait-Fjords,2,5,PKo_13,PKO-13,13,Hecate Strait-Fjords,Hecate Strait-Fjords,Pink,Pink (Odd),,
613,FALSE,Rivers-Smith Inlets,4,NA,SX_R12,SER-12,R12,Rivers-Smith Inlets,Rivers-Smith Inlets,Sockeye-River,River Sockeye,,
614,FALSE,Northern Coastal Fjords,4,26,SX_R16,SER-16,R16,Northern Coastal Fjords,Northern Coastal Fjords,Sockeye-Lake,Lake Sockeye,,
615,FALSE,Northern Coastal,4,NA,SX_R17,SER-17,R17,Northern Coastal,Northern Coastal,Sockeye-River,River Sockeye,,
401,TRUE,Portland Sound-Observatory Inlet-Lower Nass,5,1,CN_57,CK-57,57,Portland Sound-Observatory Inlet-Lower Nass,Portland Sound-Observatory Inlet-Lower Nass,Chinook,Chinook,Nass,
402,TRUE,Upper Nass,5,2,CN_58,CK-58,58,Upper Nass-CK,Upper Nass-CK,Chinook,Chinook,Nass,
405,FALSE,Lower Nass,4,NA,CM_31,CM-31,31,Lower Nass-CM,Lower Nass-CM,Chum,Chum,Nass,
406,TRUE,Portland Canal-Observatory,4,1,CM_32,CM-32,32,Portland Canal-Observatory,Portland Canal-Observatory,Chum,Chum,Nass,
404,TRUE,Portland Inlet,4,2,CM_30,CM-30,30,Portland Inlet,Portland Inlet,Chum,Chum,Nass,
408,TRUE,Lower Nass,4,1,CO_35,CO-35,35,Lower Nass-CO,Lower Nass-CO,Coho,Coho,Nass,
410,TRUE,Portland Sound-Observatory Inlet-Portland Canal,4,2,CO_37,CO-37,37,Portland Sound-Observatory Inlet-Portland Canal,Portland Sound-Observatory Inlet-Portland Canal,Coho,Coho,Nass,
409,TRUE,Upper Nass,4,3,CO_36,CO-36,36,Upper Nass-CO,Upper Nass-CO,Coho,Coho,Nass,
