channelPOP_ID,riverPOP_ID
45088,46046
3119,3143
3119,3122
3119,3125
3119,3138
3119,51778
45780,47038
45780,47041
45780,47035
50018,50013
45104,47225
49998,50013
49968,49961
49943,49961
50003,50013
50008,50013
45087,46044
45102,47211
45100,45042
